id,ticker,name,market,locale,primary_exchange,type,active,currency_name,cik,composite_figi,share_class_figi,market_cap,phone_number,address,description,sic_code,sic_description,ticker_root,homepage_url,total_employees,list_date,branding,share_class_shares_outstanding,weighted_shares_outstanding,round_lot,updated,ticker_suffix,is_test
368,DCO,Ducommun Incorporated,stocks,us,XNYS,CS,1,usd,30305.0,BBG000BH02M0,BBG001S5QDZ0,,657-335-3665,"{'address1': '200 SANDPOINTE AVENUE', 'address2': 'SUITE 700', 'city': 'SANTA ANA', 'state': 'CA', 'postal_code': '92707'}",,3728.0,"AIRCRAFT PARTS & AUXILIARY EQUIPMENT, NEC",DCO,,,,,14720000.0,,100.0,,,
369,PTC,"PTC, INC",stocks,us,XNAS,CS,1,usd,857005.0,BBG000C2VBB0,BBG001S6DNK6,,(781) 370-5000,"{'address1': '121 SEAPORT BOULEVARD', 'city': 'BOSTON', 'state': 'MA', 'postal_code': '02210'}",,7372.0,SERVICES-PREPACKAGED SOFTWARE,PTC,,,,,119740000.0,,100.0,,,
370,ABSI,Absci Corporation Common Stock,stocks,us,XNAS,CS,1,usd,1672688.0,BBG011N54CJ8,BBG011N54DC3,332465986.86,(360) 949-1041,"{'address1': '18105 SE MILL PLAIN BLVD', 'city': 'VANCOUVER', 'state': 'WA', 'postal_code': '98683'}",Absci Corp is the Artificial intelligence powered synthetic biology company unlocking the potential of proteins as the next generation of therapeutics. It enables the creation of novel biologics by unifying biologic drug discovery and cell line development into one simultaneous process.,8731.0,SERVICES-COMMERCIAL PHYSICAL & BIOLOGICAL RESEARCH,ABSI,https://www.absci.com,156.0,2021-07-22,"{'logo_url': 'https://api.polygon.io/v1/reference/company-branding/YWJzY2kuY29t/images/2024-06-01_logo.svg', 'icon_url': 'https://api.polygon.io/v1/reference/company-branding/YWJzY2kuY29t/images/2024-06-01_icon.jpeg'}",113080000.0,113083669.0,100.0,,,
371,IDRV,iShares Self-Driving EV and Tech ETF,stocks,us,ARCX,ETF,1,usd,1100663.0,BBG00NWKVLW3,BBG00NWKVMR7,,,,,,,IDRV,,,,,7400000.0,,100.0,,,
372,USSG,Xtrackers MSCI USA ESG Leaders Equity ETF,stocks,us,ARCX,ETF,1,usd,1503123.0,BBG00NJ41SD3,BBG00NJ41T41,,,,,,,USSG,,,,,20150000.0,,100.0,,,
373,GPMT,Granite Point Mortgage Trust Inc. Common Stock,stocks,us,XNYS,CS,1,usd,1703644.0,BBG00GSR1BG1,BBG00GSR1C51,,(212) 364-5500,"{'address1': '3 BRYANT PARK', 'address2': 'SUITE 2400A', 'city': 'NEW YORK', 'state': 'NY', 'postal_code': '10036'}",,6798.0,REAL ESTATE INVESTMENT TRUSTS,GPMT,,,,,51040000.0,,100.0,,,
374,HBM,Hudbay Minerals Inc.,stocks,us,XNYS,CS,1,usd,1322422.0,BBG000PM99H6,BBG001SL27N7,,,,,,,HBM,,,,,393460000.0,,100.0,,,
375,TRFK,Pacer Data and Digital Revolution ETF,stocks,us,ARCX,ETF,1,usd,1616668.0,BBG017ZLXY52,BBG017ZLXZ04,,,,,,,TRFK,,,,,760000.0,,100.0,,,
376,ALDX,"Aldeyra Therapeutics, Inc.",stocks,us,XNAS,CS,1,usd,1341235.0,BBG0029H8ZF6,BBG0029H8ZG5,197850248.37,781-761-4904,"{'address1': '131 HARTWELL AVENUE', 'address2': 'SUITE 320', 'city': 'LEXINGTON', 'state': 'MA', 'postal_code': '02421'}","Aldeyra Therapeutics Inc is a biotechnology company engaged in developing and commercializing next-generation medicines to improve the lives of patients with immune-mediated diseases. The company's product candidate, reproxalap, is a first-in-class treatment in late-stage development for dry eye disease and allergic conjunctivitis. In addition, it also has additional product candidates in development for proliferative vitreoretinopathy, primary vitreoretinal lymphoma and other retinal diseases, autoimmune disease, and cancer.",2834.0,PHARMACEUTICAL PREPARATIONS,ALDX,https://www.aldeyra.com,10.0,2014-05-02,"{'logo_url': 'https://api.polygon.io/v1/reference/company-branding/YWxkZXlyYS5jb20/images/2024-06-01_logo.svg', 'icon_url': 'https://api.polygon.io/v1/reference/company-branding/YWxkZXlyYS5jb20/images/2024-06-01_icon.jpeg'}",59410000.0,59414489.0,100.0,,,
377,PLMIW,Plum Acquisition Corp. I Warrant,stocks,us,XNAS,WARRANT,1,usd,1840317.0,,,,(415) 683-6773,"{'address1': '2021 FILLMORE ST. #2089', 'city': 'SAN FRANCISCO,', 'state': 'CA', 'postal_code': '94115'}",,7373.0,SERVICES-COMPUTER INTEGRATED SYSTEMS DESIGN,PLMI,,,,,,,100.0,,W,
378,ETX,EATON VANCE MUNICIPAL INCOME 2028 TERM TRUST,stocks,us,XNYS,FUND,1,usd,1563696.0,BBG003PQCQ52,BBG003PQCQX1,,,,,,,ETX,,,,,10890000.0,,100.0,,,
379,PASG,"Passage Bio, Inc. Common Stock",stocks,us,XNAS,CS,1,usd,1787297.0,BBG00NBK4XF9,BBG00NBK4XG8,,(267) 866-0312,"{'address1': 'ONE COMMERCE SQUARE', 'address2': '2005 MARKET STREET, 39TH FLOOR', 'city': 'PHILADELPHIA', 'state': 'PA', 'postal_code': '19103'}",,2836.0,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)",PASG,,,,,61640000.0,,100.0,,,
380,AEO,American Eagle Outfitters,stocks,us,XNYS,CS,1,usd,919012.0,BBG000BGXZB5,BBG001S7Q949,4066109176.5,(412) 432-3300,"{'address1': '77 HOT METAL STREET', 'city': 'PITTSBURGH', 'state': 'PA', 'postal_code': '15203'}","American Eagle Outfitters Inc is a specialty retailer. The company is engaged in the retail of apparel and accessories with company stores in the United States, Canada, Mexico, and Hong Kong. The Company leases all store premises, regional distribution facilities, some of its office space, and certain information technology and office equipment. American Eagle also has its online business. It operates in two segments: American Eagle and Aerie. The majority of its revenue comes from its primary brand, American Eagle, which offers an assortment of specialty apparel, accessories, and personal care products for women and men. Geographically, it generates the vast majority of its revenue from the United States.",5651.0,RETAIL-FAMILY CLOTHING STORES,AEO,https://www.aeo-inc.com,43100.0,1994-04-29,"{'logo_url': 'https://api.polygon.io/v1/reference/company-branding/YWVvLWluYy5jb20/images/2024-06-01_logo.svg', 'icon_url': 'https://api.polygon.io/v1/reference/company-branding/YWVvLWluYy5jb20/images/2024-06-01_icon.jpeg'}",196430000.0,196430395.0,100.0,,,
381,ENR,"Energizer Holdings, Inc",stocks,us,XNYS,CS,1,usd,1632790.0,BBG006FCB019,BBG006FCB028,,(314) 985-2000,"{'address1': '533 MARYVILLE UNIVERSITY DRIVE', 'city': 'SAINT LOUIS', 'state': 'MO', 'postal_code': '63141'}",,3690.0,"MISCELLANEOUS ELECTRICAL MACHINERY, EQUIPMENT & SUPPLIES",ENR,,,,,71790000.0,,100.0,,,
382,LSEA,Landsea Homes Corporation Common Stock,stocks,us,XNAS,CS,1,usd,1721386.0,BBG00L99PRQ9,BBG00L99PSG8,,(949) 345-8080,"{'address1': '1717 MCKINNEY AVENUE', 'address2': 'SUITE 1000', 'city': 'DALLAS', 'state': 'TX', 'postal_code': '75202'}",,1531.0,OPERATIVE BUILDERS,LSEA,,,,,36180000.0,,100.0,,,
383,LIVN,LivaNova PLC Ordinary Shares,stocks,us,XNAS,CS,1,usd,1639691.0,,,,4402033250662,"{'address1': '20 EASTBOURNE TERRACE', 'city': 'LONDON', 'state': 'X0', 'postal_code': 'W2 6LG'}",,3845.0,ELECTROMEDICAL & ELECTROTHERAPEUTIC APPARATUS,LIVN,,,,,54150000.0,,100.0,,,
384,SYF,SYNCHRONY FINANCIAL,stocks,us,XNYS,CS,1,usd,1601712.0,BBG00658F3P3,BBG00658F3Q2,,203 585-6730,"{'address1': '777 LONG RIDGE ROAD', 'city': 'STAMFORD', 'state': 'CT', 'postal_code': '06902-1250'}",,6199.0,FINANCE SERVICES,SYF,,,,,401540000.0,,100.0,,,
385,HIGH,Simplify Enhanced Income ETF,stocks,us,ARCX,ETF,1,usd,1810747.0,BBG01B861FF1,BBG01B861GC2,,,,,,,HIGH,,,,,17630000.0,,100.0,,,
386,ZS,"Zscaler, Inc. Common Stock",stocks,us,XNAS,CS,1,usd,1713683.0,BBG003338H34,BBG003338H61,,(408) 533-0288,"{'address1': '120 HOLGER WAY', 'city': 'SAN JOSE', 'state': 'CA', 'postal_code': '95134'}",,7371.0,SERVICES-COMPUTER PROGRAMMING SERVICES,ZS,,,,,151150000.0,,100.0,,,
387,BUYW,Main BuyWrite ETF,stocks,us,BATS,ETF,1,usd,1644419.0,BBG019K5YFR5,BBG019K5YGL9,,,,,,,BUYW,,,,,34160000.0,,100.0,,,
388,VUG,Vanguard Growth ETF,stocks,us,ARCX,ETF,1,usd,36405.0,BBG000HT2CB6,BBG001SHTTS4,,,,,,,VUG,,,,,374060000.0,,100.0,,,
389,META,"Meta Platforms, Inc. Class A Common Stock",stocks,us,XNAS,CS,1,usd,1326801.0,BBG000MM2P62,BBG001SQCQC5,,650-543-4800,"{'address1': '1 META WAY', 'city': 'MENLO PARK', 'state': 'CA', 'postal_code': '94025'}",,7370.0,"SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC.",META,,,,,2191450000.0,,100.0,,,
390,TMV,Direxion Daily 20+ Year Treasury Bear 3X Shares (based on the NYSE 20 Year Plus Treasury Bond Index; symbol AXTWEN),stocks,us,ARCX,ETF,1,usd,,BBG000DW07R9,BBG001T207L2,,,,,,,TMV,,,,,6350000.0,,100.0,,,
391,OSUR,OraSure Technologies Inc,stocks,us,XNAS,CS,1,usd,1116463.0,BBG000J3D1Y8,BBG001SD3BW5,312108199.58,(503) 641-6115,"{'address1': '220 E FIRST ST', 'city': 'BETHLEHEM', 'state': 'PA', 'postal_code': '18015'}","OraSure Technologies Inc is a medical devices company that develops, manufactures, and distributes oral fluid diagnostic and collection devices. Its reportable segments are diagnostics and molecular solutions. The diagnostics segment produces rapid oral diagnostic tests and specimen collection devices for infectious diseases such as HIV and HCV. The molecular solutions segment specializes in kits used to collect, stabilize, and transport genetic material samples for molecular testing of both hereditary diseases and infectious diseases, such as COVID-19. The company gets majority of its sales from the molecular solutions business, derived mainly from customers in the United States.",3841.0,SURGICAL & MEDICAL INSTRUMENTS & APPARATUS,OSUR,https://www.orasure.com,638.0,1992-03-17,"{'logo_url': 'https://api.polygon.io/v1/reference/company-branding/b3Jhc3VyZS5jb20/images/2024-06-01_logo.png', 'icon_url': 'https://api.polygon.io/v1/reference/company-branding/b3Jhc3VyZS5jb20/images/2024-06-01_icon.jpeg'}",73960000.0,73959289.0,100.0,,,
392,MINM,"Minim, Inc. Common Stock",stocks,us,XNAS,CS,1,usd,1467761.0,BBG000LDSKW7,BBG001T495P9,,833-966-4646,"{'address1': '848 ELM STREET', 'city': 'MANCHESTER', 'state': 'NH', 'postal_code': '03101'}",,3661.0,TELEPHONE & TELEGRAPH APPARATUS,MINM,,,,,2810000.0,,100.0,,,
393,HGER,Harbor Commodity All-Weather Strategy ETF,stocks,us,XNYS,ETF,1,usd,,BBG014VVQM55,BBG014VVQN17,,,,,,,HGER,,,,,8700000.0,,100.0,,,
394,SILO,"Silo Pharma, Inc. Common Stock",stocks,us,XNAS,CS,1,usd,1514183.0,BBG002D1DZ06,BBG002D1DZR7,,(718) 400-9031,"{'address1': '677 N. WASHINGTON BLVD', 'city': 'SARASOTA', 'state': 'FL', 'postal_code': '34236'}",,2300.0,APPAREL & OTHER FINISHD PRODS OF FABRICS & SIMILAR MATL,SILO,,,,,3690000.0,,100.0,,,
395,SWIN,Solowin Holdings Ordinary Share,stocks,us,XNAS,CS,1,usd,1959224.0,,,,,,,,,SWIN,,,,,12000000.0,,100.0,,,
396,AEIS,Advanced Energy Industries Inc,stocks,us,XNAS,CS,1,usd,927003.0,BBG000FKMP26,BBG001S8L5Z6,4037067601.2,(970) 407-6626,"{'address1': 'ATTN:  PAUL OLDHAM', 'address2': '1595 WYNKOOP ST, SUITE 800', 'city': 'DENVER', 'state': 'CO', 'postal_code': '80202'}","Advanced Energy Industries Inc provides precision power-conversion measurement and control solutions that transform power into various forms for use in manufacturing and industrial equipment and applications. The firm serves original equipment manufacturers and end customers in the semiconductor, flat panel display, solar panel, and other industrial capital equipment markets. Products include thin-film power-conversion systems, which control and modify raw electrical power into a customizable, predictable power source, and power control modules, which control and measure temperature during manufacturing cycles. A majority of the firm's revenue is generated in the United States, with the rest primarily from Asia and Europe.",3679.0,"ELECTRONIC COMPONENTS, NEC",AEIS,https://www.advancedenergy.com,10000.0,1995-11-17,"{'logo_url': 'https://api.polygon.io/v1/reference/company-branding/YWR2YW5jZWRlbmVyZ3kuY29t/images/2024-06-01_logo.svg', 'icon_url': 'https://api.polygon.io/v1/reference/company-branding/YWR2YW5jZWRlbmVyZ3kuY29t/images/2024-06-01_icon.jpeg'}",37440000.0,37442660.0,100.0,,,
397,PEGY,Pineapple Energy Inc. Common Stock,stocks,us,XNAS,CS,1,usd,22701.0,BBG000FYLYF4,BBG001SC85H2,,(952) 996-1674,"{'address1': '10900 RED CIRCLE DRIVE', 'city': 'MINNETONKA', 'state': 'MN', 'postal_code': '55343'}",,3661.0,TELEPHONE & TELEGRAPH APPARATUS,PEGY,,,,,7240000.0,,100.0,,,
398,SEB,Seaboard Corporation,stocks,us,XASE,CS,1,usd,88121.0,BBG000BSPWD3,BBG001S5VYZ8,,(913) 676-8800,"{'address1': '9000 W. 67TH STREET', 'city': 'SHAWNEE MISSION', 'state': 'KS', 'postal_code': '66202'}",,5150.0,WHOLESALE-FARM PRODUCT RAW MATERIALS,SEB,,,,,970000.0,,1.0,,,
399,BEKE,KE Holdings Inc. American Depositary Shares (each representing three Class A Ordinary Shares),stocks,us,XNYS,ADRC,1,usd,1809587.0,BBG00W9L9LX1,BBG00W9L9N03,,,,,,,BEKE,,,,,3529560000.0,,100.0,,,
400,OSEA,Harbor International Compounders ETF,stocks,us,ARCX,ETF,1,usd,,BBG019FG0710,BBG019FG0845,,,,,,,OSEA,,,,,6200000.0,,100.0,,,
401,ILTB,iShares Core 10+ Year USD Bond ETFof iShares Trust,stocks,us,ARCX,ETF,1,usd,1100663.0,BBG000PGL182,BBG001T5MKJ5,,,,,,,ILTB,,,,,12150000.0,,100.0,,,
402,DNA,"Ginkgo Bioworks Holdings, Inc.",stocks,us,XNYS,CS,1,usd,1830214.0,BBG00YPS1KY3,BBG00YPS1LT7,,(877) 442-5362,"{'address1': '27 DRYDOCK AVENUE', 'address2': '8TH FLOOR', 'city': 'BOSTON', 'state': 'MA', 'postal_code': '02210'}",,2836.0,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)",DNA,,,,,1709060000.0,,100.0,,,
403,ELTK,Eltek Ltd,stocks,us,XNAS,CS,1,usd,1024672.0,,,,,,,,,ELTK,,,,,6710000.0,,100.0,,,
404,CODA,"Coda Octopus Group, Inc. Common stock",stocks,us,XNAS,CS,1,usd,1334325.0,BBG000C3P831,BBG001S7WGC7,,801-973-9136,"{'address1': '3300 S HIAWASSEE RD.,', 'address2': 'SUITE 104-105', 'city': 'ORLANDO', 'state': 'FL', 'postal_code': '32835'}",,3812.0,"SEARCH, DETECTION, NAVAGATION, GUIDANCE, AERONAUTICAL SYS",CODA,,,,,11180000.0,,100.0,,,
405,SPBO,SPDR Portfolio Corporate Bond ETF,stocks,us,ARCX,ETF,1,usd,1064642.0,BBG001M534W4,BBG001V10544,,,,,,,SPBO,,,,,50450000.0,,100.0,,,
406,EZJ,ProShares Ultra MSCI Japan,stocks,us,ARCX,ETF,1,usd,1174610.0,BBG000JYWB40,BBG001T3T7X6,,,,,,,EZJ,,,2009-06-04,,370000.0,,100.0,,,
407,CPF,Central Pacific Financial Corporation,stocks,us,XNYS,CS,1,usd,701347.0,BBG000BG4LG3,BBG001S5Q2C9,,(808) 544-0500,"{'address1': '220 S KING ST', 'city': 'HONOLULU', 'state': 'HI', 'postal_code': '96813'}",,6022.0,STATE COMMERCIAL BANKS,CPF,,,,,27040000.0,,100.0,,,
408,TLSI,"TriSalus Life Sciences, Inc. Common Stock",stocks,us,XNAS,CS,1,usd,1826667.0,BBG00Z1TKRG8,BBG00Z1TKRH7,,415 336 8917,"{'address1': '6272 WEST 91ST AVENUE', 'city': 'WESTMINSTER', 'state': 'CO', 'postal_code': '80031'}",,3841.0,SURGICAL & MEDICAL INSTRUMENTS & APPARATUS,TLSI,,,,,27160000.0,,100.0,,,
409,HLI,"Houlihan Lokey, Inc.",stocks,us,XNYS,CS,1,usd,1302215.0,BBG000CZTB66,BBG001SFVN99,,310.553.8871,"{'address1': 'HOULIHAN LOKEY, INC.', 'address2': '10250 CONSTELLATION BLVD., 5TH FLOOR', 'city': 'LOS ANGELES', 'state': 'CA', 'postal_code': '90067'}",,6282.0,INVESTMENT ADVICE,HLI,,,,,52530000.0,,100.0,,,
410,XT,iShares Exponential Technologies ETF,stocks,us,XNAS,ETF,1,usd,1100663.0,BBG008B3Q683,BBG008B3Q692,,,,,,,XT,,,,,57700000.0,,100.0,,,
411,CGO,Calamos Global Total Return Fund,stocks,us,XNAS,CS,1,usd,1285650.0,BBG000NPGLP7,BBG001SKVJY9,,,,,,,CGO,,,,,9820000.0,,100.0,,,
412,CGSD,Capital Group Short Duration Income ETF,stocks,us,ARCX,ETF,1,usd,,BBG019XFYR75,BBG019XFYS46,,,,,,,CGSD,,,,,21420000.0,,100.0,,,
413,VTAK,"Catheter Precision, Inc.",stocks,us,XASE,CS,1,usd,1716621.0,BBG0029BD0V2,BBG0029BD0W1,,973-691-2000,"{'address1': '1670 HIGHWAY 160 WEST', 'address2': 'SUITE 205', 'city': 'FORT MILL', 'state': 'SC', 'postal_code': '29708'}",,3841.0,SURGICAL & MEDICAL INSTRUMENTS & APPARATUS,VTAK,,,,,7570000.0,,100.0,,,
414,VERU,Veru Inc.,stocks,us,XNAS,CS,1,usd,863894.0,BBG000G12J78,BBG001SCF2T8,,(312) 595-9123,"{'address1': '2916 N. MIAMI AVENUE', 'address2': 'SUITE 1000', 'city': 'MIAMI', 'state': 'FL', 'postal_code': '33127'}",,2834.0,PHARMACEUTICAL PREPARATIONS,VERU,,,,,146380000.0,,100.0,,,
415,ALLT,Allot Ltd. Ordinary Shares,stocks,us,XNAS,CS,1,usd,1365767.0,,,87647240.16,,,"Allot Ltd is a provider of network intelligence and security solutions for service providers and enterprises. The company's solutions are deployed globally for network and application analytics, traffic control and shaping, and network-based security services. The firm's multi-service platforms are deployed by mobile, fixed, and cloud service providers and enterprises. It has a customer base in Europe, Asia and Oceania, the Americas, the Middle East, and Africa.",,,ALLT,https://www.allot.com,505.0,2006-11-16,{'logo_url': 'https://api.polygon.io/v1/reference/company-branding/YWxsb3QuY29t/images/2024-06-01_logo.png'},38440000.0,38441772.0,100.0,,,
416,SSKN,"Strata Skin Sciences, Inc. Common Stock",stocks,us,XNAS,CS,1,usd,1051514.0,BBG000DK7609,BBG001SHBV08,,215-619-3200,"{'address1': '5 WALNUT GROVE DRIVE', 'address2': 'SUITE 140', 'city': 'HORSHAM', 'state': 'PA', 'postal_code': '19044'}",,3841.0,SURGICAL & MEDICAL INSTRUMENTS & APPARATUS,SSKN,,,,,3510000.0,,100.0,,,
417,SHEL,Shell plc American Depositary Shares (Each represents two Ordinary shares),stocks,us,XNYS,ADRC,1,usd,1306965.0,BBG0147BN6G2,BBG0147BN6H1,,,,,,,SHEL,,,,,6330290000.0,,100.0,,,
418,BKYI,"BIO-key International, Inc. Common Stock",stocks,us,XNAS,CS,1,usd,1019034.0,BBG000BHHR29,BBG001S7ZTY2,,(732) 359-1100,"{'address1': '101 CRAWFORDS CORNER RD', 'address2': 'SUITE 4116', 'city': 'HOLMDEL', 'state': 'NJ', 'postal_code': '07733'}",,7372.0,SERVICES-PREPACKAGED SOFTWARE,BKYI,,,,,1810000.0,,100.0,,,
419,GDEN,"Golden Entertainment, Inc. Common Stock",stocks,us,XNAS,CS,1,usd,1071255.0,BBG000BCV1L0,BBG001S69CW2,,(702) 891-4284,"{'address1': '6595 S JONES BLVD', 'city': 'LAS VEGAS', 'state': 'NV', 'postal_code': '89118'}",,7990.0,SERVICES-MISCELLANEOUS AMUSEMENT & RECREATION,GDEN,,,,,28950000.0,,100.0,,,
420,TBLD,Thornburg Income Builder Opportunities Trust Common Stock,stocks,us,XNAS,CS,1,usd,1820378.0,BBG011K2MTD7,BBG011K2MTF5,,,,,,,TBLD,,,,,32080000.0,,100.0,,,
421,ALKT,"Alkami Technology, Inc. Common Stock",stocks,us,XNAS,CS,1,usd,1529274.0,BBG005HTCT54,BBG005HTCT63,2582209989.84,972-200-1937,"{'address1': '5601 GRANITE PARKWAY', 'address2': 'SUITE 120', 'city': 'PLANO', 'state': 'TX', 'postal_code': '75024'}","Alkami Technology Inc is a cloud-based digital banking solutions provider. Alkami Platform, allows FIs to onboard and engage new users, accelerate revenues and meaningfully improve operational efficiency with the support of a proprietary, true cloud-based, multi-tenant architecture.",7372.0,SERVICES-PREPACKAGED SOFTWARE,ALKT,https://www.alkami.com,917.0,2021-04-14,"{'logo_url': 'https://api.polygon.io/v1/reference/company-branding/YWxrYW1pLmNvbQ/images/2024-06-01_logo.svg', 'icon_url': 'https://api.polygon.io/v1/reference/company-branding/YWxrYW1pLmNvbQ/images/2024-06-01_icon.jpeg'}",97520000.0,97515483.0,100.0,,,
422,DIBS,"1stdibs.com, Inc. Common Stock",stocks,us,XNAS,CS,1,usd,1600641.0,BBG00331G2M1,BBG00331G2N0,,212-627-3929,"{'address1': '300 PARK AVENUE SOUTH', 'address2': '10TH FLOOR', 'city': 'NEW YORK', 'state': 'NY', 'postal_code': '10010'}",,5961.0,RETAIL-CATALOG & MAIL-ORDER HOUSES,DIBS,,,,,39380000.0,,100.0,,,
423,EUDA,EUDA Health Holdings Limited Ordinary Shares,stocks,us,XNAS,CS,1,usd,1847846.0,,,,65 67880388,"{'address1': '1 PEMIMPIN DRIVE #12-07', 'city': 'ONE PEMIMPIN', 'state': 'U0', 'postal_code': '576151'}",,8000.0,SERVICES-HEALTH SERVICES,EUDA,,,,,24630000.0,,100.0,,,
424,GVP,"GSE Systems, Inc.",stocks,us,XNAS,CS,1,usd,944480.0,BBG000JGQFS1,BBG001S8HJ36,,(410) 970-7874,"{'address1': '6940 COLUMBIA GATEWAY DRIVE, SUITE 470', 'city': 'COLUMBIA', 'state': 'MD', 'postal_code': '21046-3308'}",,7372.0,SERVICES-PREPACKAGED SOFTWARE,GVP,,,,,3240000.0,,100.0,,,
425,TRUE,"TrueCar, Inc.",stocks,us,XNAS,CS,1,usd,1327318.0,BBG001P6MYV3,BBG001V18W74,,800-200-2000,"{'address1': '1401 OCEAN AVE, SUITE 200', 'city': 'SANTA MONICA', 'state': 'CA', 'postal_code': '90401'}",,7370.0,"SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC.",TRUE,,,,,91670000.0,,100.0,,,
426,PRG,"PROG Holdings, Inc.",stocks,us,XNYS,CS,1,usd,1808834.0,BBG00VSH86G4,BBG00VSH86H3,,(385) 351-1369,"{'address1': '256 W. DATA DRIVE', 'city': 'DRAPER', 'state': 'UT', 'postal_code': '84020'}",,7359.0,"SERVICES-EQUIPMENT RENTAL & LEASING, NEC",PRG,,,,,43180000.0,,100.0,,,
427,VOYApB,"Voya Financial, Inc. Depositary Shares, each representing a 1/40th interest in a share of 5.35% Fixed-Rate Reset Non-Cumulative Preferred Stock, Series B",stocks,us,XNYS,PFD,1,usd,1535929.0,,,,212-309-8200,"{'address1': '230 PARK AVENUE', 'city': 'NEW YORK', 'state': 'NY', 'postal_code': '10169'}",,6311.0,LIFE INSURANCE,VOYA,,,,,12000000.0,,100.0,,PRB,
428,OSG,Overseas Shipholding Group Inc.,stocks,us,XNYS,CS,1,usd,75208.0,BBG0071D5R09,BBG0071D5RR0,,(813) 209-0600,"{'address1': 'TWO HARBOUR PLACE', 'address2': '302 KNIGHTS RUN AVENUE, SUITE 1200', 'city': 'TAMPA', 'state': 'FL', 'postal_code': '33602'}",,4412.0,DEEP SEA FOREIGN TRANSPORTATION OF FREIGHT,OSG,,,,,72030000.0,,100.0,,,
429,SLDP,"Solid Power, Inc. Class A Common Stock",stocks,us,XNAS,CS,1,usd,1844862.0,BBG0112HCSY4,BBG0112HCTV5,,(303) 219-0720,"{'address1': '486 S. PIERCE AVE., SUITE E', 'city': 'LOUISVILLE', 'state': 'CO', 'postal_code': '80027'}",,3690.0,"MISCELLANEOUS ELECTRICAL MACHINERY, EQUIPMENT & SUPPLIES",SLDP,,,,,177050000.0,,100.0,,,
430,VSEEW,"VSee Health, Inc. Warrant",stocks,us,XNAS,WARRANT,1,usd,,BBG0149QDRN4,,,,,,,,VSEE,,,,,,,100.0,,W,
431,HES,Hess Corporation,stocks,us,XNYS,CS,1,usd,4447.0,BBG000BBD070,BBG001S5NHS2,,(212) 997-8500,"{'address1': '1185 AVENUE OF THE AMERICAS', 'city': 'NEW YORK', 'state': 'NY', 'postal_code': '10036'}",,2911.0,PETROLEUM REFINING,HES,,,,,308110000.0,,100.0,,,
432,GSL,"Global Ship Lease, Inc.",stocks,us,XNYS,CS,1,usd,1430725.0,,,,,,,,,GSL,,,,,35080000.0,,100.0,,,
433,NBHC,NATIONAL BANK HOLDINGS CORP.,stocks,us,XNYS,CS,1,usd,1475841.0,BBG003D8Y833,BBG003D8Y8V2,1415805208.59,303-892-8715,"{'address1': '7800 EAST ORCHARD ROAD', 'address2': 'SUITE 300', 'city': 'GREENWOOD VILLAGE', 'state': 'CO', 'postal_code': '80111'}","National Bank Holdings Corp is a bank holding company. It provides various banking products and financial services to commercial, business, and consumer clients in the United States. The company offers deposit products including checking accounts, savings accounts, money market accounts, and other deposit accounts, including fixed-rate and fixed-maturity time deposits. It also provides commercial and industrial loans and leases. In addition, it offers treasury management solutions comprising online and mobile banking, commercial credit card, wire transfer, automated clearing house, and electronic bill payments.",6021.0,NATIONAL COMMERCIAL BANKS,NBHC,https://www.nationalbankholdings.com,1274.0,2012-09-20,,37830000.0,37825413.0,100.0,,,
434,YORW,York Water Co,stocks,us,XNAS,CS,1,usd,108985.0,BBG000BRZKC1,BBG001S6YWZ7,,(717) 845-3601,"{'address1': '130 E MARKET ST', 'city': 'YORK', 'state': 'PA', 'postal_code': '17401-1219'}",,4941.0,WATER SUPPLY,YORW,,,,,14350000.0,,100.0,,,
435,MISL,First Trust Indxx Aerospace & Defense ETF,stocks,us,ARCX,ETF,1,usd,1329377.0,BBG01B34YSW8,BBG01B34YSX7,,,,,,,MISL,,,,,2350000.0,,100.0,,,
436,FNDB,Schwab Fundamental U.S. Broad Market ETF,stocks,us,ARCX,ETF,1,usd,1454889.0,BBG0051GPYK7,BBG0051GPYJ9,,,,,,,FNDB,,,,,11550000.0,,100.0,,,
437,SYM,Symbotic Inc. Class A Common Stock,stocks,us,XNAS,CS,1,usd,1837240.0,BBG00Z72HCV1,BBG00Z72HCX9,,978-284-2800,"{'address1': '200 RESEARCH DRIVE', 'city': 'WILMINGTON', 'state': 'MA', 'postal_code': '01887'}",,3569.0,"GENERAL INDUSTRIAL MACHINERY & EQUIPMENT, NEC",SYM,,,,,102180000.0,,100.0,,,
438,PMT,PennyMac Mortgage Investment Trust,stocks,us,XNYS,CS,1,usd,1464423.0,BBG000DKDWS5,BBG001T1MJR8,,(818) 224-7442,"{'address1': '3043 TOWNSGATE ROAD', 'city': 'WESTLAKE VILLAGE', 'state': 'CA', 'postal_code': '91361'}",,6798.0,REAL ESTATE INVESTMENT TRUSTS,PMT,,,,,86850000.0,,100.0,,,
439,MMYT,MakeMyTrip Limited,stocks,us,XNAS,CS,1,usd,1495153.0,,,,,,,,,MMYT,,,,,69400000.0,,100.0,,,
